date,open,close,high,low,volume
1658241000000,144.56,144.82,145.01,144.4,480436
1658244600000,144.81,144.13,144.95,144.03,455693
1658248200000,144.13,143.88,144.44,143.75,592737
1658251800000,143.91,144.125,144.38,143.85,501586
1658255400000,144.125,144.12,144.28,143.86,716758
1658259000000,144.13,143.92,144.28,143.76,1367101.0
1658323800000,144,142.31,144.22,141.92,1275984
1658327400000,142.35,142.5,142.75,142.11,1309579
1658331000000,142.51,141.85,142.89,141.84,997495
1658334600000,141.85,141.38,142.05,140.81,998136
1658338200000,141.41,141.7169,141.75,140.64,671060
1658341800000,141.74,141.925,141.985,141.17,788572
1658345400000,141.92,141.58,142.09,141.4,1116823.0
1658410200000,140.6,140.3003,141.36,139.95,1617519.0
1658413800000,140.31,139.22,140.45,139.1,1178724
1658417400000,139.225,139.85,139.94,139.14,764768
1658421000000,139.855,139.165,139.985,139.08,699103
1658424600000,139.17,139.445,139.655,138.95,921569
1658428200000,139.45,140.23,140.27,139.24,581820
1658431800000,140.23,140.76,140.81,140.17,933491
1658496600000,140.76,142.24,142.67,140.67,1026456
1658500200000,142.25,142.09,142.67,142.08,487247
1658503800000,142.09,142.93,142.99,142.0438,533291
1658507400000,142.93,142.469,143.06,142.33,312586
1658511000000,142.44,142.105,142.46,141.93,410682
1658514600000,142.1,142.44,142.52,141.96,423869
1658518200000,142.4799,143.14,143.17,142.32,975655
1658755800000,142.8,143.9,144.02,142.53,981776
1658759400000,143.9141,143.97,144.15,143.65,571299
1658763000000,143.97,143.69,144.11,143.33,348298
1658766600000,143.7,143.7,144.07,143.66,266913
1658770200000,143.69,143.05,143.69,143.05,465325
1658773800000,143.0439,143.23,143.26,142.92,431924
1658777400000,143.23,144.01,144.42,143.195,1003306.0
1658842200000,142.69,142.89,143.7178,142.27,1068921
1658845800000,142.9,142.03,142.92,141.71,782444
1658849400000,142.03,143.1781,143.2,142.03,557868
1658853000000,143.19,143.82,143.9,143.14,389991
1658856600000,143.835,143.795,143.93,143.48,410970
1658860200000,143.795,144.18,144.1899,143.71,406600
1658863800000,144.2,144.26,144.49,143.88,648144
1658928600000,143.88,144.09,144.38,143.56,860131
1658932200000,144.05,144.145,144.23,143.53,451323
1658935800000,144.15,144.33,144.35,143.76,413996
1658939400000,144.3521,144.115,144.43,144.01,310474
1658943000000,144.115,144.585,144.69,143.97,477861
1658946600000,144.57,146.19,146.19,144.24,823042
1658950200000,146.2,145.57,146.21,145.51,784030
1659015000000,146.14,146.09,146.25,145.08,663833
1659018600000,146.1,146.245,146.4315,145.93,1363059.0
1659022200000,146.24,147.0001,147.075,145.96,494630
1659025800000,147.03,147.79,147.98,146.93,542394
1659029400000,147.81,148.34,148.49,147.72,504682
1659033000000,148.38,148.13,148.61,148.09,478452
1659036600000,148.12,147.89,148.5,147.89,735364
1659101400000,141.43,139.99,142.5,139.26,3691377.0
1659105000000,139.995,139.4976,140.0299,138.23,2784304.0
1659108600000,139.495,140.495,140.6,139.46,1666479.0
1659112200000,140.52,139.79,140.92,139.61,1182212
1659115800000,139.8,140.14,140.33,139.74,968723
1659119400000,140.15,139.405,140.26,139.14,1492855
1659123000000,139.42,138.93,139.89,138.69,3146726.0
1659360600000,138.34,140.79,141,138.27,2787369.0
1659364200000,140.76,141.97,142.22,140.67,2737002.0
1659367800000,141.98,142.88,143.36,141.7,1104778
1659371400000,142.86,143.79,143.905,142.78,814794
1659375000000,143.78,142.89,143.94,142.59,824219
