timestamp,splus0,splus0_delta,splus0_delta_percentage,splus3,splus3_delta,splus3_delta_percentage,splus5,splus5_delta,splus5_delta_percentage,splus7,splus7_delta,splus7_delta_percentage,splus9,splus9_delta,splus9_delta_percentage,ntdo,ntdo_delta,ntdo_delta_percentage,ntdc,ntdc_delta,ntdc_delta_percentage,total_delta,total_delta_percentage,average_delta,average_high_delta,max_high,max_high_delta,max_high_delta_percentage,average_low_delta,min_low,min_low_delta,min_low_delta_percentage
2023-06-09 09:00:00,|O:115.58|H:115.89|L:114.16|C:115.79|,0.0,0.0,|O:115.72|H:116|L:115.5|C:115.79|,0.0,0.0,|O:115.68|H:115.86|L:115.34|C:115.51|,-0.28000000000000114,-0.2418170826496253,|O:115.45|H:115.83|L:115.45|C:115.79|,0.0,0.0,|O:115.83|H:117.06|L:115.78|C:116.15|,0.35999999999999943,0.3109076776923736,|O:116.17|H:116.61|L:115.82|C:116.1|,0.30999999999998806,0.2677260557906452,|O:118.54|H:118.54|L:117.86|C:117.86|,2.069999999999993,1.7877191467311455,0.35999999999999943,0.3109076776923736,0.4099999999999966,116.64999999999999,118.54,2.75,2.3749892045945247,115.95833333333333,115.34,-0.45000000000000284,-0.38863459711547005
2023-06-08 16:00:00,|O:114.69|H:114.69|L:114.69|C:114.69|,0.0,0.0,|O:115.765|H:115.98|L:115.33|C:115.72|,1.0300000000000011,0.8980730665271611,|O:115.78|H:115.94|L:115.55|C:115.7|,1.0100000000000051,0.8806347545557635,|O:115.49|H:115.74|L:115.32|C:115.43|,0.7400000000000091,0.6452175429418512,|O:115.79|H:115.79|L:115.79|C:115.79|,1.1000000000000085,0.9591071584270716,|O:115.765|H:115.98|L:115.33|C:115.72|,1.0300000000000011,0.8980730665271611,|O:115.79|H:115.79|L:115.79|C:115.79|,1.1000000000000085,0.9591071584270716,1.1000000000000085,0.9591071584270716,1.0016666666666723,115.87,115.98,1.2900000000000063,1.1247711221553809,115.51833333333333,115.32,0.6299999999999955,0.5493068270991328
2023-06-08 15:00:00,|O:114.89|H:115.02|L:114.66|C:114.7|,0.0,0.0,|O:115.58|H:115.89|L:114.16|C:115.79|,1.0900000000000034,0.9503051438535338,|O:115.72|H:116|L:115.5|C:115.79|,1.0900000000000034,0.9503051438535338,|O:115.68|H:115.86|L:115.34|C:115.51|,0.8100000000000023,0.7061900610287727,|O:115.45|H:115.83|L:115.45|C:115.79|,1.0900000000000034,0.9503051438535338,|O:115.765|H:115.98|L:115.33|C:115.72|,1.019999999999996,0.8892763731473374,|O:115.79|H:115.79|L:115.79|C:115.79|,1.0900000000000034,0.9503051438535338,1.0900000000000034,0.9503051438535338,1.0316666666666687,115.89166666666667,116.0,1.2999999999999972,1.1333914559720988,115.26166666666667,114.16,-0.5400000000000063,-0.4707933740191859
2023-06-08 12:00:00,|O:115.59|H:116.21|L:115.55|C:116.1|,0.0,0.0,|O:115.17|H:115.27|L:114.86|C:114.87|,-1.2299999999999898,-1.0594315245477948,|O:114.69|H:114.69|L:114.69|C:114.69|,-1.4099999999999966,-1.2144702842377233,|O:115.765|H:115.98|L:115.33|C:115.72|,-0.37999999999999545,-0.3273040482342769,|O:115.78|H:115.94|L:115.55|C:115.7|,-0.3999999999999915,-0.34453057708870927,|O:115.765|H:115.98|L:115.33|C:115.72|,-0.37999999999999545,-0.3273040482342769,|O:115.79|H:115.79|L:115.79|C:115.79|,-0.30999999999998806,-0.2670111972437451,-0.3999999999999915,-0.34453057708870927,-0.6849999999999928,115.60833333333333,115.98,-0.11999999999999034,-0.10335917312660667,115.25833333333333,114.69,-1.4099999999999966,-1.2144702842377233
2023-06-08 11:00:00,|O:115.7591|H:116|L:115.56|C:115.59|,0.0,0.0,|O:116.11|H:116.11|L:115|C:115.16|,-0.4300000000000068,-0.37200449865905943,|O:114.89|H:115.02|L:114.66|C:114.7|,-0.8900000000000006,-0.7699627995501346,|O:115.58|H:115.89|L:114.16|C:115.79|,0.20000000000000284,0.17302534821351573,|O:115.72|H:116|L:115.5|C:115.79|,0.20000000000000284,0.17302534821351573,|O:115.765|H:115.98|L:115.33|C:115.72|,0.12999999999999545,0.11246647633877971,|O:115.79|H:115.79|L:115.79|C:115.79|,0.20000000000000284,0.17302534821351573,0.20000000000000284,0.17302534821351573,-0.0983333333333339,115.79833333333333,116.11,0.519999999999996,0.44986590535513105,115.07333333333334,114.16,-1.4300000000000068,-1.2371312397266259
2023-05-24 13:00:00,|O:118.715|H:119.93|L:118.52|C:119.7501|,0.0,0.0,|O:119.27|H:121.09|L:119.18|C:121.06|,1.309899999999999,1.0938612994895194,|O:121.41|H:121.41|L:118.015|C:118.015|,-1.7351000000000028,-1.448934071871341,|O:118.31|H:118.63|L:118.15|C:118.45|,-1.3001000000000005,-1.0856775902483593,|O:118.48|H:119.67|L:118.47|C:119.67|,-0.08010000000000161,-0.06688929696092247,|O:118.02|H:118.935|L:117.635|C:118.205|,-1.545100000000005,-1.2902703212773976,|O:119.49|H:119.49|L:117.2901|C:117.2901|,-2.460000000000008,-2.054278034005824,-0.08010000000000161,-0.06688929696092247,-0.9684166666666698,119.87083333333334,121.41,1.6598999999999933,1.3861366295309925,118.12335,117.2901,-2.460000000000008,-2.054278034005824
2023-05-24 12:00:00,|O:118.375|H:119.38|L:117.995|C:118.76|,0.0,0.0,|O:119.77|H:120.18|L:119.03|C:119.3|,0.539999999999992,0.4546985517009027,|O:120.99|H:120.99|L:120.01|C:120.99|,2.2299999999999898,1.8777366116537468,|O:118.02|H:118.935|L:117.635|C:118.205|,-0.5550000000000068,-0.46732906702594035,|O:118.45|H:118.67|L:118.2788|C:118.53|,-0.23000000000000398,-0.19366790165039066,|O:118.02|H:118.935|L:117.635|C:118.205|,-0.5550000000000068,-0.46732906702594035,|O:119.49|H:119.49|L:117.2901|C:117.2901|,-1.4699000000000098,-1.2377062984169835,-0.23000000000000398,-0.19366790165039066,-0.006650000000007594,119.53333333333335,120.99,2.2299999999999898,1.8777366116537468,118.31315000000001,117.2901,-1.4699000000000098,-1.2377062984169835
2023-05-24 11:00:00,|O:117.045|H:119.37|L:117.0002|C:118.37|,0.0,0.0,|O:118.715|H:119.93|L:118.52|C:119.7501|,1.3800999999999988,1.1659204190250898,|O:119.27|H:121.09|L:119.18|C:121.06|,2.6899999999999977,2.272535270761171,|O:121.41|H:121.41|L:118.015|C:118.015|,-0.355000000000004,-0.2999070710484109,|O:118.31|H:118.63|L:118.15|C:118.45|,0.0799999999999983,0.06758469206724532,|O:118.02|H:118.935|L:117.635|C:118.205|,-0.16500000000000625,-0.13939342738870172,|O:119.49|H:119.49|L:117.2901|C:117.2901|,-1.0799000000000092,-0.9123088620427551,0.0799999999999983,0.06758469206724532,0.4250333333333292,119.91416666666667,121.41,3.039999999999992,2.56821829855537,118.13168333333334,117.2901,-1.0799000000000092,-0.9123088620427551
2023-05-09 15:00:00,|O:126.91|H:127.6|L:126.68|C:127.37|,0.0,0.0,|O:128.71|H:128.9|L:127.19|C:128.26|,0.8899999999999864,0.6987516683677367,|O:126.57|H:127.35|L:126.55|C:127.35|,-0.020000000000010232,-0.015702284682429325,|O:127.15|H:127.18|L:126.7|C:126.99|,-0.38000000000000966,-0.29834340896601214,|O:127.475|H:128.32|L:127.45|C:128.07|,0.6999999999999886,0.5495799638847363,|O:128.235|H:128.28|L:126.16|C:126.58|,-0.7900000000000063,-0.6202402449556459,|O:128.06|H:128.06|L:128.06|C:128.06|,0.6899999999999977,0.5417288215435327,0.6999999999999886,0.5495799638847363,0.18166666666665776,128.01500000000001,128.9,1.5300000000000011,1.2012247782052297,127.01833333333333,126.16,-1.210000000000008,-0.9499882232864943
2023-05-09 14:00:00,|O:127.23|H:127.34|L:126.735|C:126.91|,0.0,0.0,|O:127.35|H:128|L:127.35|C:128|,1.0900000000000034,0.8588763690804534,|O:128.235|H:128.28|L:126.16|C:126.58|,-0.3299999999999983,-0.2600267906390342,|O:127.32|H:127.64|L:127.08|C:127.16|,0.25,0.19698999290836028,|O:127.06|H:127.5399|L:126.99|C:127.465|,0.5550000000000068,0.43731778425656515,|O:128.235|H:128.28|L:126.16|C:126.58|,-0.3299999999999983,-0.2600267906390342,|O:128.06|H:128.06|L:128.06|C:128.06|,1.1500000000000057,0.9061539673784617,0.5550000000000068,0.43731778425656515,0.39750000000000324,127.96665,128.28,1.3700000000000045,1.079505161137818,126.96666666666665,126.16,-0.75,-0.5909699787250808
2023-05-09 13:00:00,|O:126.96|H:127.46|L:126.85|C:127.23|,0.0,0.0,|O:126.91|H:127.6|L:126.68|C:127.37|,0.14000000000000057,0.1100369409730414,|O:128.71|H:128.9|L:127.19|C:128.26|,1.029999999999987,0.809557494301648,|O:126.57|H:127.35|L:126.55|C:127.35|,0.11999999999999034,0.09431737797688465,|O:127.15|H:127.18|L:126.7|C:126.99|,-0.2400000000000091,-0.18863475595379162,|O:128.235|H:128.28|L:126.16|C:126.58|,-0.6500000000000057,-0.5108857973748374,|O:128.06|H:128.06|L:128.06|C:128.06|,0.8299999999999983,0.65236186434017,-0.2400000000000091,-0.18863475595379162,0.20499999999999355,127.895,128.9,1.6700000000000017,1.3125835101784185,126.89,126.16,-1.0700000000000074,-0.8409966202939616
